surface,nb_pieces,nb_toilettes,logement_neuf,balcon,cave,ascenseur,bain,eau,places_parking,annonce_exclusive,dpeL,exposition,chauffage_energie,chauffage_systeme,chauffage_mode
-0.2332988342019787,0.6553345192281552,1.6718083717582923,,,,Non,,,,,,Autre,Electrique,Autre,Plancher chauffant
1.1382830659050824,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.1408326386891432,0.1491814721145894,-1.2684824560185162,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
2.879729748063486,0.6553345192281552,1.6718083717582923,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.6339856814242664,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.649396714009739,-1.3692776692261082,0.2016629578698881,,,,Non,,,,,,Autre,Autre,Autre,Plancher chauffant
0.2136211107767265,0.6553345192281552,-1.2684824560185162,,,,Non,,,,,,Est,Fioul,Autre,Plancher chauffant
0.1519769804348361,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.7726849746935197,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.4644643229840677,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
1.230749261417918,2.6799467076824186,0.9367356648140902,,,,Non,,,,,,Est,Autre,Autre,Plancher chauffant
-0.8497401376208827,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
1.1691051310760276,1.161487566341721,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,,Plancher chauffant
-0.7264518769371019,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Sud,Fioul,Autre,Plancher chauffant
-0.4644643229840677,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.0483664431763076,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.3719981274712322,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
0.0749218175074731,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
1.384859587272644,2.173793660568853,0.2016629578698881,,,,Non,,,,,,Autre,Gaz,Autre,Plancher chauffant
2.463631868255726,0.6553345192281552,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
0.2136211107767265,0.6553345192281552,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.4644643229840677,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.0021333454198898,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
-0.5723415510823759,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Fioul,Autre,Plancher chauffant
0.1211549152638909,-0.3569715749989764,0.2016629578698881,,,,Non,,,,,,Autre,Autre,Individuel,Plancher chauffant
0.6143079579990142,1.161487566341721,0.2016629578698881,,,,Non,,,,,,Autre,Autre,Autre,Plancher chauffant
0.922528609708466,0.1491814721145894,0.2016629578698881,,,,Non,,,,,,Sud,Fioul,Autre,Plancher chauffant
